Enemy_Id,EnemyName,EnemyType,EnemyGrade,AttackType,MoveType,Hp,Defense,Shield,MoveSpeed,Attack,UniqueRatePenetration,FixedPenetration,Exp,PatternList
400101,EnemyName400101,1,4,0,0,10,0,0,1,1,0,0,1,0
400102,EnemyName400102,1,4,0,0,20,0,0,3,5,0,0,2,0
400103,EnemyName400103,1,4,0,0,30,0,0,6,10,0,0,3,0
400104,EnemyName400104,1,4,0,1,10,0,0,1,1,0,0,2,0
400105,EnemyName400105,1,4,0,1,20,0,0,3,5,0,0,3,0
400106,EnemyName400106,1,4,0,1,30,0,0,6,10,0,0,4,0
400107,EnemyName400107,1,3,0,0,100,10,0,3,20,0,0,7,0
400108,EnemyName400108,1,3,0,0,110,10,0,2,20,0,0,10,0
400201,EnemyName400201,2,3,10,1,20,0,0,3,20,0,1,3,201
400202,EnemyName400202,2,3,10,1,20,0,0,3,20,0,1,0,201
400203,EnemyName400203,2,3,10,2,20,0,0,3,20,0,1,0,203
400204,EnemyName400204,2,3,10,1,50,0,0,3,30,0,1,0,201
400205,EnemyName400205,2,3,10,2,50,0,0,3,30,0,1,0,203
400301,EnemyName400301,3,2,10,10,60,10,0,3,0,0,1,300,301
400401,EnemyName400401,4,1,10,10,2000,10,0,3,70,0,10,0,401
400302,EnemyName400302,3,2,10,11,1000,10,0,3,80,0,10,0,402
400206,EnemyName400206,2,3,0,0,100,0,0,1,10,0,0,50,0
400402,EnemyName400402,4,1,0,12,200,1,0,2,10,0,0,50,0
400303,EnemyName400303,3,2,0,12,200,0,0,2,10,0,0,50,0
400403,EnemyName400403,4,1,0,10,500,1,0,1,0,0,0,50,0
