Key,Text
ItemName710101,도감 확률(타워)
ItemName710102,도감 확률(증강)
ItemName710201,타워 강화 재료 (별가루)
ItemName710202,행성 강화 재료 (별뭉치)
ItemName710301,체력 행성 조각
ItemName710302,방어력 행성 조각
ItemName710303,보호막 행성 조각
ItemName710304,흡혈 행성 조각
ItemName710305,경험치 행성 조각
ItemName710306,체력 재생 행성 조각
ItemName710307,공용 행성 조각
ItemDescription710101,도감에서 타워의 등장 확률을 올리거나 내릴 수 있는 아이템
ItemDescription710102,도감에서 랜덤 능력의 등장 확률을 올리거나 내릴 수 있는 아이템
ItemDescription710201,타워 강화에 사용하는 재료
ItemDescription710202,행성 강화에 사용하는 재료
ItemDescription710301,체력 행성을 획득하거나 승급할 수 있는 재료
ItemDescription710302,방어력 행성을 획득하거나 승급할 수 있는 재료
ItemDescription710303,보호막 행성을 획득하거나 승급할 수 있는 재료
ItemDescription710304,흡혈 행성을 획득하거나 승급할 수 있는 재료
ItemDescription710305,경험치 행성을 획득하거나 승급할 수 있는 재료
ItemDescription710306,체력 재생 행성을 획득하거나 승급할 수 있는 재료
ItemDescription710307,모든 행성의 교환/강화에 사용할 수 있는 재료
CurrencyName711101,골드
CurrencyName711201,다이아(무료)
CurrencyName711202,다이아(유료)
GroupName7001,골드
GroupName7002,다이아
RewardName7200101,다이아(무료)
RewardName7200201,타워 강화 재료
RewardName7200202,행성 강화 재료
RewardName7200301,체력 행성 조각
RewardName7200302,방어력 행성 조각
RewardName7200303,보호막 행성 조각
RewardName7200304,흡혈 행성 조각
RewardName7200305,경험치 행성 조각
RewardName7200306,체력 재생 행성 조각
RewardName7201001,체력 행성
RewardName7201002,방어력 행성
RewardName7201003,보호막 행성
RewardName7201004,흡혈 행성
RewardName7201005,경험치 행성
RewardName7201006,체력 재생 행성
UI_DrawName701,골드 뽑기
UI_DrawName702,무료 다이아 뽑기
UI_DrawName703,무료+유료 다이아 뽑기
UI_DrawName704,유료 다이아 뽑기
ItemName710203,타워 강화 재료 (별가루) 10개
ItemName710204,행성 강화 재료 (별뭉치) 10개
ItemDescription710203,타워 강화에 사용하는 재료
ItemDescription710204,행성 강화에 사용하는 재료
