RandomAbilityText_ID,RandomAbilityName,RandomAbilityDescribe
2300001,공격력%,"공격력을 올려주는 랜덤 능력"
2300002,공속%,공속을 올려주는 랜덤 능력
2300003,비율 관통력,비율 관통력을 올려주는 랜덤 능력
2300004,고정 관통력,고정 관통력을 올려주는 랜덤 능력
2300005,둔화,둔화 효과를 주는 랜덤 능력
2300006,충돌크기,충돌크기를 올려주는 랜덤 능력
2300007,연쇄,연쇄 효과를 주는 랜덤 능력
2300008,폭발,폭발 효과를 주는 랜덤 능력
2300009,관통,관통 효과를 주는 랜덤 능력
2300010,분열,분열 효과를 주는 랜덤 능력
2300011,투사체 수,투사체 수를 올려주는 랜덤 능력
2300012,타겟 수,타겟 수를 올려주는 랜덤 능력
2300013,히트스캔,히트스캔 효과를 주는 랜덤 능력
2300014,유도,유도 효과를 주는 랜덤 능력
2300015,유지시간,유지시간 효과를 주는 랜덤 능력
2300016,"명중률, 기존 칸 증가",명중률 증가와 증폭 타워의 버프 칸 수를 올려주는 랜덤 능력
2300017,"공속%, 1칸 집중",공속 증가와 모든 버프를 1칸에 집중하는 랜덤 능력
2300018,권총 전용 랜덤능력,권총에만 등장하는 랜덤 능력 
2300019,기관총 전용 랜덤능력,기관총에만 등장하는 랜덤 능력
2300020,스나이퍼 전용 랜덤능력,스나이퍼에만 등장하는 랜덤능력
2300021,샷건 전용 랜덤능력,샷건에만 등장하는 랜덤능력
2300022,미사일 전용 랜덤능력,미사일에만 등장하는 랜덤능력
2300023,레이저 전용 랜덤능력,레이저에만 등장하는 랜덤능력
